DPMP,irca.2016,fake.irca,pob.2016,rural.2016,ing.2016
13655,92.111304,10,13723,0.716315674,12761.74
13657,0,3,33623,0.206198138,40691.245
13667,59.5925,7,17689,0.571654701,20054.768
13670,5.729166,1,34033,0.111656334,22545.205
13673,73.192857,3,13298,0.639193864,17801.176
13683,24.21875,7,23105,0.357281974,19878.629
13688,3.260869,2,42960,0.451978585,27762.32823
13744,15.625,1,20576,0.503499222,23645.316
13760,42.536875,6,8467,0.021495217,9832.304717
13780,25.984,9,11387,0.526038465,24167.6818
13810,75,1,22474,0.722612797,15143.799
13836,7.470909,1,73179,0.071782889,59513.532
13838,43.620416,3,15031,0.072250682,23962.876
13873,48.232307,3,19923,0.072378658,27310.879
13894,0,8,11688,0.08744011,13826.617
15001,19.812227,4,191924,0.040635877,206573.15
15022,41.2495,1,1699,0.84108299,4862.575
15047,21.793823,3,15060,0.578220452,19257.95984
15051,40.09625,6,5243,0.623879458,8019.933154
15087,36.05375,3,7255,0.485733977,8907.97045
15090,51.583636,9,1934,0.721820062,4280.41914
15092,50.715909,5,2024,0.809782609,5151.539502
15097,38.958,7,6914,0.576222158,10671.04632
15104,41.602222,1,4414,0.909379248,8470.357251
15106,44.96,6,2568,0.78894081,4320.034297
15109,26.171875,9,5777,0.854942011,7060.03981
15114,6.069375,9,1192,0.61409396,4731.144025
15131,28.282142,10,3596,0.931034483,5032.983
15135,2.93,9,3813,0.746393916,8735.404
15162,2.975185,4,3714,0.582929456,5567.657417
15172,54.277777,3,3499,0.651328951,7298.851
15176,11.512033,9,66203,0.140612963,41888.93443
15180,35.359047,7,4200,0.786904762,11275.235
15183,37.293888,9,9407,0.784096949,16424.7691
15185,27.913333,2,5596,0.798248749,8509.704311
15187,3.376,10,6315,0.58226445,6390.465746
15189,38.225517,2,4694,0.716446527,7925.778368
15204,12.47826,3,14812,0.923575479,11914.302
15212,42.232857,10,3610,0.788088643,8947.56
15215,13.033,5,2251,0.310972901,5697.917818
15218,27.252,1,2825,0.81699115,8429.243294
15223,0,9,6730,0.70089153,12426.39024
15224,33.244347,6,4687,0.589716236,6008.90792
15226,14.551666,3,1892,0.884778013,4814.83312
15232,18.319166,3,5433,0.982882385,8144.609985
15236,42.348636,5,1752,0.718607306,5705.0306
15238,16.498469,9,113105,0.088784758,124028.8184
15244,20.255,8,5197,0.467000192,7934.88844
15248,7.64619,9,4205,0.687514863,6071.315548
15272,2.627916,3,5864,0.637619372,7217.340484
15276,26.946153,3,4478,0.595578383,8867.182415
15293,46.481428,7,2617,0.861673672,7362.972045
15296,20.592272,7,4776,0.672948074,6369.616774
15299,20.846046,1,16974,0.189760811,17621.93692
15317,20.079565,3,1657,0.703681352,5684.138324
15322,27.794,4,9552,0.247696817,10009.08343
15325,37.885714,1,5013,0.741871135,6161.256
15332,39.826666,7,6801,0.748125276,9358.496559
15362,2.151363,6,2373,0.563000421,4361.359705
15367,16.624687,9,7659,0.738085912,14340.89832
15368,28.397647,1,3956,0.837967644,7935.756622
15377,36.852,8,5068,0.770323599,10942.764
15380,58.577142,9,2499,0.614245698,5010.002794
15401,7.898125,1,1674,0.48088411,3404.222
15403,25.681,3,2435,0.590554415,5790.673265
15407,11.983194,1,16984,0.395607631,17420.55448
15425,39.535454,5,4827,0.768178993,13954.845
15442,5.302727,5,7424,0.869073276,11026.92482
15455,8.846734,10,9779,0.416095715,12407.85169
15464,39.283846,4,4657,0.653424952,13130.68807
15466,56.204615,10,4985,0.435105316,5462.721125
15469,40.448297,9,21345,0.503865074,22963.03942
15476,13.37909,9,8195,0.889566809,8423.265577
15480,28.3224,9,8914,0.401503253,11341.007
15491,7.856078,4,16353,0.604109338,22382.767
15494,23.024074,2,6602,0.799909118,6999.217129
15500,10.365238,9,2831,0.89261745,6270.33345
15507,34.154615,4,10671,0.607721863,18818.21613
15511,40.915714,6,2453,0.841418671,5709.614224
15514,39.878947,8,2867,0.592256714,10720.54415
15516,10.106363,4,31021,0.378743432,37624.26043
15518,25.788888,9,1670,0.577245509,4526.805
15522,45.901,4,1452,0.58677686,4161.947466
15531,37.537826,1,10797,0.756599055,14099.16423
15533,27.251428,1,2537,0.769018526,7051.958555
15537,4.794545,6,4618,0.370723257,5443.214429
15542,41.759687,6,7862,0.747646909,10152.855
15550,30.840714,5,1323,0.702947846,6584.70091
15572,8.714642,2,55694,0.317125723,74971.204
15580,19.269473,2,7776,0.794753086,10077.41228
15599,23.402564,1,9926,0.493653032,14806.79199
15600,43.966774,6,13682,0.743531647,8718.807
15621,33.568823,1,2796,0.80472103,8403.460169
15632,34.955,1,12309,0.935900561,16101.16874
15638,43.156818,1,3780,0.50026455,10079.10556
15646,23.963269,8,20116,0.701879101,20708.50242
15660,55.89238,10,1867,0.550615961,4544.565
15664,56.912,7,5158,0.79177976,9143.458887
15667,27.38913,8,4996,0.645516413,8187.437
15673,28.334347,6,3582,0.587381351,6677.595847
15676,5.092142,4,4548,0.892700088,5776.917287
15681,39.896875,9,10478,0.875835083,10062.67803
15686,40.284074,9,7671,0.693260331,10058.66567
15690,25.044736,3,3918,0.418325676,10714.323
15693,21.268863,10,13407,0.466248974,9907.613154
15696,49.723939,6,2658,0.732129421,8497.700519
15720,39.26375,1,2306,0.773200347,6845.234
15723,17.402857,7,1094,0.759597806,3894.422995
15740,33.992962,1,8967,0.823129252,9932.199337
15753,36.614516,8,7069,0.259159711,12383.532
15755,47.420454,7,7934,0.868792538,9826.697
15757,57.98387,6,7092,0.457275804,7115.242424
15759,11.44376,6,112790,0.126695629,164055.0451
15761,45.47,6,3555,0.776371308,7071.431
15762,14.985714,3,3027,0.834489594,5743.693361
15763,45.37909,5,7578,0.905779889,9756.085
15764,18.773333,2,5279,0.857927638,8885.842958
15774,24.701818,2,3027,0.68021143,5484.428806
15776,44.467407,10,5890,0.769949066,10770.79195
15778,32.280769,7,4033,0.808827176,8192.847188
15790,20.781515,2,6296,0.696791614,5513.277
15798,33.296666,8,4052,0.696446199,6950.911
